name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Val Giuf",,,,Rueras,CH,1.5,Hydro,Run-of-river,,1979,,46.6713364433,8.75072947495,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Val Strem",,,,Sedrun,CH,2,Hydro,Run-of-river,,2009,,,,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Sedrun 1",,,,Sedrun,CH,150,Hydro,Reservoir,,2011,,46.670049651,8.76860353742,12W-0000000021-S,"Renewable energy",Hydro,,,"- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Sedrun 2",,,,Sedrun,CH,0.75,Hydro,Run-of-river,,1968,,46.670049651,8.76860353742,12W-0000000021-S,"Renewable energy",Hydro,,,"- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Tavanasa (KVR)",,,,Tavanasa,CH,180,Hydro,Reservoir,,1962,,46.7510368203,9.04692392804,12W-0000000021-S,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Russein,,,,Somvix,CH,24.87,Hydro,Run-of-river,,2015,,46.7202818447,8.89856834691,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Ferrera,,,,Trun,CH,4.23,Hydro,Run-of-river,,1999,,46.7435050176,8.98649363197,12W-0000000016-H,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Trun,,,,Trun,CH,0.6,Hydro,Run-of-river,,2005,,46.7435050176,8.98649363197,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Dardin (Casut)",,,,"Dardin, Casut",CH,0.4,Hydro,Run-of-river,,2008,,46.7573816308,9.04999337816,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Tavanasa (AHSAG)",,,,Tavanasa,CH,10.14,Hydro,Run-of-river,,1946,,,,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
